Nro_;ZONA;DISTRITO;PROVINCIA;CANTÓN;PARROQUIA;TIPO_EDUCA;INSTITUCI;SOSTENIMIE;JURISDICCI;MODALIDAD;RÉGIMEN;TIPOLOGIA;ZONA_INEC;NIVEL_DE_E;AÑO_DE_DO;Tipo_de_Pr;AMIE;Longitud;Latitud
169;Zona 1;08D04;ESMERALDAS;QUININDE;LA UNION;Ordinario;UNIDAD EDUCATIVA CARLOS ANDRADE MARÍN;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H02247;-79,40746678;0,043735795
170;Zona 1;08D01;ESMERALDAS;ESMERALDAS;SIMON PLATA TORRES;Ordinario;UNIDAD EDUCATIVA DEL MILENIO SIMON PLATA TORRES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H02258;-79,71286091;0,897924667
171;Zona 8;09D03;GUAYAS;GUAYAQUIL;AYACUCHO;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL CARLOS ALBERTO FLORES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00001;-79,89307792;-2,207770983
172;Zona 8;09D03;GUAYAS;GUAYAQUIL;AYACUCHO;Ordinario;UNIDAD EDUCATIVA FISCAL NUEVE DE OCTUBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H00016;-79,88540601;-2,206350599
173;Zona 8;09D03;GUAYAS;GUAYAQUIL;BOLIVAR (SAGRARIO);Ordinario;ESCUELA DE EDUCACION BASICA FISCAL GONZALO LLONA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00057;-79,87716738;-2,182050225
174;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;UNIDAD EDUCATIVA  DR RAFAEL GARCIA GOYENA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H00093;-79,91918399;-2,203887774
175;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA COMPLETA ISABEL RAMIREZ ESTRADA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00112;-79,92835122;-2,195273625
176;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA ADOLFO H SIMMONDS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00148;-79,9220163;-2,198393567
177;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA OLGA AGUIRRE TORRES DE IZURIETA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00165;-79,91927446;-2,222740511
178;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA LUIS VARGAS TORRES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00179;-79,91433373;-2,198215108
179;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;UNIDAD EDUCATIVA FISCAL ALBERTO PERDOMO FRANCO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H00180;-79,94007807;-2,227958447
180;Zona 8;09D23;GUAYAS;SAMBORONDON;TARIFA;Ordinario;CENTRO DE EDUCACION INICIAL FISCAL GABRIELA MISTRAL;Fiscal;Intercultural;Presencial;Costa;Pluridocente menor;Rural;Inicial;2026;BANCO MUNDIAL;09H04723;-79,75404902;-1,980304554
181;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA PERLA DEL PACIFICO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00195;-79,93160394;-2,194315233
182;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL TEODORO WOLF;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00213;-79,92749125;-2,193249416
183;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA  OSCAR EFREN REYES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00225;-79,94412352;-2,203628698
184;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA  DR ABEL ROMEO CASTILLO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00230;-79,93246935;-2,206514755
185;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION  BASICA FISCAL CARMEN SUCRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00231;-79,92979947;-2,199630575
186;Zona 8;09D04;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA FILIBERTO LOPEZ AREVALO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H00251;-79,91100902;-2,192655094
187;Zona 8;09D06;GUAYAS;GUAYAQUIL;TARQUI;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL ANGEL FELICÍSIMO ROJAS;Fiscal;Intercultural;Presencial;Costa;Pluridocente mayor;Urbana;Inicial y EGB;2026;BANCO MUNDIAL;09H01353;-79,93939195;-2,157250019
